RA (J2000) [deg],Dec (J2000) [deg]
190.4149,-1.4495
184.9764,-0.6672
188.4445,-9.4523
189.5938,1.8547
190.9082,-1.5764
180.2568,-1.7683
181.4994,-3.1315
185.8142,-4.9745
260.5022,-25.0
261.5923,-24.176
261.8377,-29.8681
262.8536,-23.9635
258.8333,-26.6044
259.5023,-24.2865
255.0397,-24.9891
261.175,-21.4413
257.1968,-30.4036
257.0625,-17.6088
261.2757,-24.2438
272.0211,-28.4574
274.5131,-27.0421
269.9476,-23.8158
272.9311,-23.7014
270.7132,-24.282
273.8042,-20.7286
274.2983,-17.3744
275.3452,-18.8598
270.4768,-22.7802
269.0793,-15.8126
270.9687,-24.3611
273.8039,-20.3882
273.8779,-18.662
268.7257,-24.8868
268.9793,-18.8019
272.1612,-21.4493
266.1002,-22.195
270.0483,-24.2844
274.2394,-27.7161
272.2257,-25.4731
269.0889,-21.9564
271.2935,-24.3982
274.1479,-20.5444
277.0296,-22.9999
267.4896,-24.2071
68.9809,16.509
67.1659,15.8705
67.1442,15.9617
66.3429,22.293
66.3723,17.927
70.5577,22.9548
66.5779,22.8128
68.4568,14.8589
76.1424,15.4037
67.6404,16.1933
77.4246,15.5976
67.1104,16.3593
72.8436,18.8403
77.9232,16.0458
66.3549,22.1992
64.9036,21.7728
67.6621,15.6911
64.859,21.1415
74.3432,17.153
67.5365,15.6375
64.5974,21.5785
67.0045,21.6196
69.54,16.0326
73.9596,15.0381
74.5391,25.0501
74.4526,23.9487
76.9811,21.7045
73.196,27.8973
66.2382,19.0413
79.8111,20.134
76.0901,21.2775
80.2363,19.8143
351.7327,1.2552
346.2916,-7.6938
358.2316,-3.1559
345.3826,-4.7115
353.5375,-1.2472
352.2523,-9.2664
345.3486,-7.0613
350.8835,0.2907
15.7361,7.8892
18.4341,7.5746
17.0913,5.6486
19.9513,-0.5097
17.6396,2.4453
11.8484,6.7407
16.2191,5.6564
14.9572,6.4831
12.8261,3.3845
9.3774,3.1351
131.1712,18.1543
134.6218,11.8577
137.3397,22.0454
134.3123,15.3228
128.1771,20.4412
130.8014,12.6809
130.8014,12.6809
134.3967,15.5813
131.7334,12.11
205.4032,-8.703
203.242,-10.165
201.6799,-12.7077
203.8804,-5.3962
203.6685,-13.2143
201.5476,-1.1925
240.0834,-22.6217
233.8816,-14.7895
228.0554,-19.7917
234.7273,-19.3019
233.2301,-16.8528
233.1529,-19.6705
234.4502,-23.1417
232.6683,-16.6095
234.5678,-21.0163
228.33,-19.6476
226.6131,-22.0318
230.2237,-18.1587
233.7483,-17.1388
158.2028,9.3066
165.1401,3.6172
158.7005,6.9535
162.3141,10.5451
166.7254,1.9555
160.837,4.7473
155.7513,6.5419
130.8215,21.4685
123.053,17.6478
133.9814,11.626
131.1877,10.0817
125.0874,20.7477
127.1556,14.2108
123.2489,16.5143
125.98,10.6321
126.4578,17.0463
134.2845,17.1437
133.8453,17.2313
166.66825,-23.45521
167.01367,-23.23443
166.18038,-23.8486
166.56992,-23.74919
166.17066,-23.51451
165.98388,-23.53459
166.95672,-23.16939
179.08380,-23.81548
178.01542,-22.00856
201.2982,-11.1613
201.8632,-15.9736
285.6518,-29.8798
287.4413,-21.024
286.7339,-27.6714
284.4325,-21.1067
286.1712,-21.7414
294.1764,-24.885
283.5429,-22.7444
288.885,-25.2573
289.4091,-18.9532
283.7795,-22.6716
