Name,Vmag,Sp. Type,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],MASK,Investigation IDs,LC TPF – 10.1,LC TPF – 10.2,LC 10.1 Halo Lightcurve,LC 10.1 Lightcurve Image,LC 10.1 Weight Image,LC 10.1 Flux Image,LC 10.2 Halo Lightcurve,LC 10.2 Lightcurve Image,LC 10.2 Weight Image,LC 10.2 Flux Image,Stiched LC light curve,Project,Contact,Publication,Comments,LC TPF – 11.1,LC TPF – 11.2,SC TPF – 11.1,SC TPF – 11.2,LC 11.1 Halo Lightcurve,LC 11.1 Lightcurve Image,LC 11.1 Weight Image,LC 11.1 Flux Image,LC 11.2 Halo Lightcurve,LC 11.2 Lightcurve Image,LC 11.2 Weight Image,LC 11.2 Flux Image,LC TPF – 9.1,LC TPF – 9.2,LC 9.1 Halo Lightcurve,LC 9.1 Lightcurve Image,LC 9.1 Weight Image,LC 9.1 Flux Image,LC 9.2 Halo Lightcurve,LC 9.2 Lightcurve Image,LC 9.2 Weight Image,LC 9.2 Flux Image,LC TPF,Halo Lightcurve,Lightcurve Image,Weight Image,Flux Image,TPF,LC Halo Lightcurve,RA (J2000),Dec (J2000)
Porrima,2.74,F1V+F0mF2V,200084004,190.41486,-1.449475,Halo,GO10025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaniah,3.9,A2IV,200084005,184.97638,-0.667183,Halo,GO10025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Vir,5.48,B9V,200084006,188.444462,-9.452253,Halo,GO10025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FW Vir,5.71,M3+IIICa0.5,200084007,189.593819,1.854722,Halo,GO10025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 4837,5.918,G8III,200084008,190.908208,-1.57638,Halo,GO10025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 4591,6.316,K1III,200084009,180.256803,-1.768302,Halo,GO10025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 4613,6.364,G8/K0III,200084010,181.499356,-3.131519,Halo,GO10025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 107794,6.46,K0III,200084011,185.814177,-4.974539,Halo,GO10025_LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tet Oph,3.26,OB,200128906,260.502159,-24.999975,Halo,GO11047_LC,,,,,,,,,,,tet_Oph_C11_halo_o1_stitch.txt,,,,,KTWO200128906-C111,KTWO200147344-C112,,,tet_Oph_C111halo_lc_o1.fits,tet_Oph_C111halo_lc_o1.png,tet_Oph_C111_weightmap_o1_sub1.png,tet_Oph_C111_fluxmap_o1_sub1.png,tet_Oph_C112halo_lc_o1.fits,tet_Oph_C112halo_lc_o1.png,tet_Oph_C112_weightmap_o1_sub1.png,tet_Oph_C112_fluxmap_o1_sub1.png,,,,,,,,,,,,,,,,,,,
44 Oph,4.153,kA5hA9mF1III,200128907,261.592348,-24.17599,Halo,GO11047_LC,,,,,,,,,,,44_Oph_C11_halo_o1_stitch.txt,,,,,KTWO200128907-C111,KTWO200147345-C112,,,44_Oph_C111halo_lc_o1.fits,44_Oph_C111halo_lc_o1.png,44_Oph_C111_weightmap_o1_sub1.png,44_Oph_C111_fluxmap_o1_sub1.png,44_Oph_C112halo_lc_o1.fits,44_Oph_C112halo_lc_o1.png,44_Oph_C112_weightmap_o1_sub1.png,44_Oph_C112_fluxmap_o1_sub1.png,,,,,,,,,,,,,,,,,,,
